skill1,skill2,similarity
Addition Whole Numbers,Subtraction Whole Numbers,0.32982033806068084
Number Line,"Order of Operations +,-,/,* () positive reals",0.320881372466124
Conversion of Fraction Decimals Percents,Addition and Subtraction Positive Decimals,0.3119018122790672
Addition and Subtraction Integers,Simplifying Expressions positive exponents,0.3074651030880303
Nets of 3D Figures,Calculations with Similar Figures,0.29698186747673144
Number Line,Ordering Positive Decimals,0.29437327362487203
Number Line,Multiplication and Division Positive Decimals,0.29437327362487203
Addition and Subtraction Integers,"Order of Operations +,-,/,* () positive reals",0.2866688366025603
Number Line,Addition Whole Numbers,0.28566685903105016
Number Line,Subtraction Whole Numbers,0.28566685903105016
Conversion of Fraction Decimals Percents,Addition and Subtraction Fractions,0.26535439083856166
Addition and Subtraction Positive Decimals,Simplifying Expressions positive exponents,0.2630339560960445
Ordering Positive Decimals,Addition and Subtraction Integers,0.2629870448021665
Multiplication and Division Positive Decimals,Addition and Subtraction Integers,0.2629870448021665
Addition and Subtraction Positive Decimals,"Order of Operations +,-,/,* () positive reals",0.24524291512664187
Number Line,Addition and Subtraction Integers,0.22104376243807533
